|id |title                                                        |like_count|
|---|-------------------------------------------------------------|----------|
|1  |Finalmente si parte! Destinazione vacanze                    |5         |
|2  |Una giornata di sole sulla spiaggia                          |6         |
|3  |Serata tranquilla a gustare il tramonto                      |5         |
|4  |Nuove sfide lavorative in arrivo                             |6         |
|5  |Riposo e relax dopo una giornata intensa                     |7         |
|6  |Esplorazione della natura circostante                        |12        |
|7  |Cena con vista panoramica sulle montagne                     |11        |
|8  |Riflessioni notturne sulla vita                              |0         |
|9  |Letture serali nel mio angolo preferito                      |12        |
|10 |Weekend rilassante in campagna                               |10        |
|11 |Momenti di pace nella natura                                 |10        |
|12 |Festeggiamenti con gli amici                                 |3         |
|13 |Una serata divertente al karaoke                             |0         |
|14 |Scorci urbani nel cuore della citt├á                         |11        |
|15 |Riflessioni in un parco tranquillo                           |12        |
|16 |Inizio di una nuova fase professionale                       |0         |
|17 |Sogni e progetti per il futuro                               |3         |
|18 |Sorrisi e abbracci sinceri                                   |0         |
|19 |Ricordi felici con gli amici                                 |10        |
|20 |Apprezzamento per una giornata tranquilla                    |5         |
|21 |Tempo di riflessione e gratitudine                           |4         |
|22 |Prima colazione con vista sulla citt├á                       |0         |
|23 |Sessione di allenamento mattutino                            |6         |
|24 |Esplorazione dei nuovi caff├¿ in zona                        |12        |
|25 |Momenti di tranquillit├á nel parco                           |3         |
|26 |Riflessioni sulla settimana appena trascorsa                 |9         |
|27 |Serata con gli amici, buon cibo e risate                     |11        |
|28 |Passeggiata serale sotto le stelle                           |11        |
|29 |Foto ricordo di una giornata speciale                        |5         |
|30 |Nuovi progetti e obiettivi in arrivo                         |2         |
|31 |Chiacchierata serale con una tazza di t├¿                    |6         |
|32 |Incontro con vecchi amici, la nostalgia ├¿ sempre piacevole  |7         |
|33 |Passeggiata rilassante nel parco cittadino                   |6         |
|34 |Una giornata di lavoro produttiva e soddisfacente            |5         |
|35 |Semplicit├á e bellezza in ogni angolo della citt├á           |9         |
|36 |Esplorazione di nuovi libri alla biblioteca locale           |10        |
|37 |Cena casalinga con il gusto della cucina tradizionale        |2         |
|38 |Ascoltando la musica preferita mentre guardo il tramonto     |5         |
|39 |Riflessioni serali sulla vita e sulla crescita personale     |12        |
